Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
2,124,3750,1040,55,2
3,124,5940,1040,1150,2
1,410,300,150,-50,3
2,120,650,275,-50,2
4,120,650,275,-50,2
4,120,775,275,-50,2
1,116,475,100,125,5
4,116,1300,400,125,2
2,116,2500,400,125,2
2,116,2500,400,125,2
0,9,250,100,0,6
3,404,450,200,0,2
3,407,1100,400,50,2
4,110,1550,850,-400,2
0,11,500,100,150,4
1,13,250,100,0,4
4,13,550,200,0,2
1,108,250,100,0,6
2,108,550,200,0,2
2,220,550,200,0,2
0,220,1450,200,700,2
2,8,300,200,-200,2
2,120,300,200,-200,2
0,7,250,150,-50,2
0,6,460,100,110,5
1,13,250,100,0,5
2,126,600,225,0,2
2,126,600,225,0,2
3,126,950,225,125,2
0,11,500,150,100,3
1,124,250,100,0,3
1,13,250,100,0,4
0,9,250,100,0,6
1,411,250,150,-50,2
4,13,650,300,-50,2
0,13,500,100,150,4
0,13,475,100,125,6
2,4,300,200,-200,2
0,124,400,200,-100,2
0,9,250,100,0,3
0,13,475,100,125,6
1,408,250,100,0,6
2,11,750,200,0,3
0,13,375,200,-75,2
3,13,525,150,125,3
2,13,925,375,-100,3
2,13,925,375,-100,3
3,13,1525,375,225,3
2,13,2125,975,-375,2
1,409,250,100,0,3
0,409,1525,225,825,2
0,404,475,100,125,6
3,10,350,200,-100,2
2,10,450,300,-200,2
2,102,450,300,-200,2
0,102,750,300,0,2
0,13,250,100,0,3
0,10,250,100,0,5
0,10,1350,200,750,3
0,6,475,100,125,4
1,13,250,100,0,5
0,13,1175,200,525,2
0,9,400,200,-50,2
3,411,250,150,-50,2
3,411,650,200,150,2
2,116,900,450,-100,2
4,236,900,450,-100,2
4,236,1250,450,-100,2
0,5,250,100,0,4
0,10,250,100,0,6
3,12,250,150,-50,2
0,12,650,200,150,2
0,6,460,100,110,5
1,12,250,100,0,5
0,409,400,200,-50,2
0,5,250,100,0,4
0,11,250,100,0,6
3,13,500,200,50,2
2,13,750,450,-200,2
3,13,1275,450,75,2
4,13,1800,975,-450,2
0,11,250,100,0,3
0,10,475,100,125,6
1,12,250,100,0,6
3,13,400,200,-50,2
2,13,550,350,-200,2
1,404,500,150,100,3
0,7,250,100,0,3
1,409,250,100,0,4
4,118,550,200,0,2
1,411,250,100,0,6
0,9,400,200,-50,2
1,13,500,150,100,3
2,13,2550,1050,100,2
2,13,2550,1050,100,2
1,13,3850,1050,250,2
1,13,250,100,0,4
1,13,1500,250,750,2
4,13,4682,1341,750,2
4,13,5740,1341,750,2
0,7,250,100,0,5
0,12,400,200,-50,2
1,13,500,100,150,4
0,12,460,100,110,5
