Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
2,13,470,310,-200,2
0,5,670,150,60,4
0,9,250,100,0,4
0,9,250,100,0,6
3,10,360,200,-90,2
2,10,470,310,-200,2
2,10,470,310,-200,2
2,13,470,310,-200,2
1,122,505,200,5,3
0,4,250,100,0,4
0,10,250,100,0,6
3,10,375,200,-75,2
2,112,500,325,-200,2
3,112,750,325,-75,2
2,232,1000,575,-325,2
3,232,1500,575,-75,2
2,236,2000,1075,-575,2
3,236,2675,1075,-400,2
3,11,300,200,-100,2
4,11,350,250,-150,2
2,11,550,250,-150,2
0,8,475,100,125,4
0,13,475,100,125,6
3,9,360,200,-90,2
2,11,470,310,-200,2
4,11,470,310,-200,2
4,11,940,310,-200,2
0,407,525,200,25,3
0,13,250,100,0,4
0,11,250,100,0,6
3,13,475,150,75,3
0,13,2925,325,925,3
0,12,250,100,0,4
1,13,250,100,0,6
3,13,1100,200,450,2
2,126,1550,650,0,2
2,126,1550,650,0,2
3,126,2700,650,500,2
2,126,3850,1800,-650,2
0,11,475,150,75,3
0,10,250,100,0,4
0,12,250,100,0,6
0,408,475,150,75,3
0,8,250,100,0,4
0,12,250,100,0,6
0,8,475,100,125,4
1,10,250,100,0,4
4,10,550,200,0,2
1,116,250,100,0,5
4,226,650,250,0,2
0,9,550,200,-75,3
3,11,250,150,-50,2
0,5,475,100,125,4
0,7,250,100,0,5
0,12,570,200,-90,3
0,12,475,100,125,4
0,12,250,100,0,5
1,122,250,100,0,6
4,333,550,200,0,2
4,333,775,200,0,2
2,333,1675,200,0,2
0,9,475,150,75,3
1,13,250,100,0,3
2,13,550,200,0,2
2,122,550,200,0,2
1,122,700,200,0,2
1,12,300,150,-50,4
0,8,475,100,125,6
0,10,425,200,-25,2
0,8,450,100,100,4
1,411,250,100,0,5
0,411,1915,225,990,3
0,11,425,200,-25,2
3,13,500,150,100,3
1,13,250,100,0,3
4,126,600,225,0,2
2,126,1100,225,0,2
2,240,1100,225,0,2
0,4,525,150,75,5
1,12,250,100,0,6
2,12,724,287,0,2
3,12,1084,287,73,2
2,118,1444,647,-287,2
3,13,470,250,-80,2
2,13,640,420,-250,2
4,13,640,420,-250,2
3,12,250,150,-50,2
4,118,300,200,-100,2
1,13,450,100,100,4
2,116,1750,650,100,2
0,324,2305,650,100,2
1,411,250,100,0,4
0,8,250,100,0,5
3,13,425,200,-25,2
2,13,600,375,-200,2
2,122,600,375,-200,2
0,122,800,375,-175,2
0,9,250,100,0,3
0,8,250,100,0,5
3,12,350,200,-100,2
2,108,450,300,-200,2
2,108,450,300,-200,2
0,108,650,300,-100,2
0,13,1300,100,700,5
0,13,250,100,0,5
0,104,1630,200,1005,3
0,4,475,100,125,4
0,13,475,100,125,6
1,112,300,200,-200,2
3,112,1750,375,900,2
0,112,4225,1475,-100,2
0,11,250,100,0,3
0,7,250,100,0,5
1,13,250,100,0,6
2,13,600,200,0,2
2,13,600,200,0,2
0,12,425,200,-25,2
1,118,455,150,55,3
4,118,2150,895,55,2
0,10,500,100,150,4
0,12,250,100,0,5
0,7,360,200,-90,2
1,13,250,150,-50,2
4,126,700,325,-50,2
0,8,1200,100,625,6
0,7,250,100,0,6
1,13,455,150,55,3
0,8,475,100,125,4
1,9,250,100,0,5
2,240,650,225,0,2
4,240,650,225,0,2
2,240,787,225,0,2
0,10,300,150,-50,6
0,9,475,100,125,4
1,102,250,100,0,4
1,12,250,100,0,6
0,10,360,200,-90,2
3,411,475,150,75,3
0,10,475,100,125,4
0,8,250,100,0,5
1,13,250,100,0,6
4,13,550,200,0,2
4,13,775,200,0,2
2,126,1675,200,0,2
0,12,475,150,75,3
0,7,250,100,0,4
1,12,250,100,0,5
0,13,250,100,0,6
0,7,455,150,55,3
0,10,475,100,125,5
0,8,250,100,0,6
3,10,450,200,0,2
2,238,650,400,-200,2
2,238,650,400,-200,2
3,238,1100,400,50,2
1,12,300,200,-100,2
0,3,250,100,0,4
0,403,250,100,0,6
1,8,300,200,-200,2
2,112,600,350,-200,2
2,236,600,350,-200,2
3,236,975,350,25,2
0,9,250,100,0,3
0,10,250,100,0,5
0,11,500,200,-100,3
0,12,475,100,125,4
0,8,250,100,0,5
0,7,400,200,-50,2
0,9,475,100,125,4
0,12,250,100,0,5
1,12,550,200,-100,3
2,12,3250,1500,-100,2
0,12,4450,1500,-100,2
3,10,250,150,-50,2
2,104,300,200,-100,2
0,8,250,100,0,3
1,124,250,100,0,4
0,5,250,100,0,6
0,9,500,150,100,3
0,403,500,100,150,5
0,11,250,100,0,6
3,11,400,200,-50,2
2,11,550,350,-200,2
4,11,550,350,-200,2
0,11,475,100,125,4
0,12,250,100,0,5
0,406,910,200,350,3
1,407,250,150,-50,2
4,8,550,250,-50,2
1,12,250,100,0,3
2,116,600,225,0,2
4,116,600,225,0,2
2,116,725,225,0,2
0,8,250,100,0,5
3,11,600,200,-50,3
2,108,750,350,-200,3
0,108,1500,350,25,3
1,11,250,100,0,4
0,11,1450,200,800,2
0,13,250,100,0,6
0,6,475,150,75,3
0,11,250,100,0,4
0,12,250,100,0,6
0,410,475,150,75,3
1,13,250,100,0,4
0,13,1700,200,900,3
1,407,250,100,0,5
0,8,350,200,-100,2
3,8,250,150,-50,2
2,106,300,200,-100,2
2,106,300,200,-100,2
3,106,400,200,-100,2
2,226,500,300,-200,2
3,226,800,300,0,2
0,11,500,100,150,5
0,13,250,100,0,6
3,3,350,200,-100,2
2,12,450,300,-200,2
0,6,700,150,75,4
3,410,475,100,125,4
0,8,475,100,125,5
0,13,250,100,0,6
2,5,300,200,-200,2
2,12,300,200,-200,2
2,12,300,200,-200,2
0,12,250,150,-50,2
0,9,475,100,125,5
0,10,250,100,0,6
3,13,375,200,-75,2
2,13,500,325,-200,2
1,108,500,150,100,3
0,108,3352,750,1252,2
0,11,500,100,150,5
1,106,250,100,0,6
2,106,825,225,0,3
0,222,1300,225,250,3
0,6,1225,150,600,4
1,102,250,100,0,3
4,218,650,250,0,2
0,6,250,100,0,5
0,10,550,200,-100,3
3,108,475,100,125,4
2,108,875,325,-100,3
0,108,1350,325,150,2
1,120,250,100,0,5
0,12,250,100,0,6
3,13,475,150,75,3
2,13,650,325,-100,2
2,110,650,325,-100,2
0,5,250,100,0,3
1,126,250,100,0,4
1,126,1750,200,500,3
0,10,250,100,0,6
3,106,400,200,-50,2
2,216,550,350,-200,2
2,222,550,350,-200,2
0,9,475,150,75,3
0,10,250,100,0,4
1,12,250,100,0,5
1,13,300,200,-200,2
0,407,500,150,100,3
1,7,250,100,0,4
0,7,1450,200,800,2
0,405,250,100,0,6
1,12,500,150,100,3
2,12,1650,600,100,2
2,12,1650,600,100,2
2,12,1650,600,100,2
0,9,525,150,75,4
0,6,250,100,0,5
0,6,500,150,100,3
0,6,250,100,0,4
1,108,250,100,0,5
3,108,1175,225,475,2
2,108,1650,700,0,2
2,108,1650,700,0,2
0,11,250,100,0,6
3,12,375,200,-75,2
2,106,500,325,-200,2
0,11,670,150,60,4
0,406,250,100,0,4
1,13,250,100,0,6
4,126,600,225,0,2
0,5,350,200,-100,2
1,10,250,100,0,3
0,10,1625,225,925,2
0,9,475,100,125,6
0,12,1225,200,650,3
1,13,250,150,-50,2
1,104,250,100,0,3
0,406,250,100,0,4
1,126,250,100,0,5
1,12,300,200,-200,2
4,12,700,400,-200,2
0,11,500,150,100,3
1,102,250,100,0,4
3,102,1150,200,500,2
2,102,1650,700,0,2
0,102,2205,700,0,2
0,4,250,100,0,6
0,10,460,150,60,3
0,406,250,100,0,4
1,13,250,100,0,6
4,246,550,200,0,2
3,11,375,200,-75,2
2,13,500,325,-200,2
3,13,750,325,-75,2
2,126,1000,575,-325,2
3,126,1835,575,260,2
2,126,2670,1410,-575,2
0,126,5024,1410,944,2
1,108,250,100,0,3
2,108,550,200,0,2
0,108,700,200,0,2
1,116,250,100,0,4
4,632,550,200,0,2
4,632,775,200,0,2
0,11,250,100,0,6
3,11,375,200,-75,2
2,112,500,325,-200,2
2,112,500,325,-200,2
1,13,250,150,-50,2
4,13,550,250,-50,2
4,13,750,250,-50,2
4,407,950,250,-50,2
0,9,250,100,0,3
1,410,250,100,0,5
0,13,250,100,0,6
0,5,250,150,-50,2
0,9,500,100,150,5
1,13,250,100,0,5
2,108,724,287,0,2
0,6,250,100,0,6
0,6,475,150,75,3
3,10,475,100,125,4
4,12,825,325,-100,3
2,412,1550,325,-100,2
4,108,1550,325,-100,2
0,410,250,100,0,5
0,407,1350,200,750,3
1,13,500,100,150,4
4,13,1886,668,150,2
4,102,2332,668,150,2
4,102,3671,668,150,2
0,9,475,100,125,5
1,11,250,100,0,3
4,11,600,225,0,2
0,11,1325,225,500,2
0,403,250,100,0,5
1,12,250,100,0,6
0,7,250,150,-50,2
0,6,500,100,150,5
0,11,250,100,0,6
0,10,460,150,60,3
1,11,250,100,0,3
0,5,250,100,0,5
0,12,350,200,-100,2
3,13,250,150,-50,2
2,13,300,200,-100,2
2,13,300,200,-100,2
2,114,300,200,-100,2
0,8,475,100,125,5
1,410,250,100,0,5
0,12,250,100,0,6
3,6,360,200,-90,2
2,112,470,310,-200,2
2,112,470,310,-200,2
3,112,705,310,-75,2
2,112,940,545,-310,2
3,120,475,100,125,4
1,120,2270,325,760,3
0,12,525,150,75,5
1,406,250,100,0,5
4,110,600,225,0,2
0,12,1200,200,625,3
0,7,250,100,0,3
0,13,475,100,125,6
0,9,375,200,-75,2
3,11,460,150,60,3
2,412,620,310,-100,2
1,412,970,310,40,2
4,412,2540,920,40,2
2,120,3760,920,40,2
0,13,450,100,100,5
0,5,250,100,0,6
3,13,400,200,-50,2
2,13,550,350,-200,2
2,102,550,350,-200,2
2,102,550,350,-200,2
0,409,475,100,125,4
0,9,250,100,0,5
1,410,250,100,0,6
2,8,300,200,-200,2
2,9,300,200,-200,2
3,9,450,200,-50,2
2,116,600,350,-200,2
0,9,510,200,10,3
3,114,500,100,150,4
2,114,900,350,-100,3
0,8,250,100,0,4
0,12,250,100,0,6
0,12,460,150,60,3
1,406,475,100,125,4
0,406,250,100,0,5
0,13,1550,200,800,4
0,11,475,100,125,4
1,407,250,100,0,5
1,114,250,100,0,6
4,114,600,225,0,2
1,118,400,200,-50,2
4,118,2750,1300,-50,2
0,12,475,150,75,3
1,114,250,100,0,3
3,114,1625,225,925,2
3,114,3300,1150,0,2
0,8,1275,100,675,6
1,12,250,100,0,6
0,12,1425,225,725,2
3,12,400,200,-50,2
2,13,550,350,-200,2
0,10,500,150,100,3
0,7,250,100,0,4
0,402,250,100,0,6
3,9,400,200,-50,2
2,10,550,350,-200,2
0,8,500,150,100,3
1,12,250,100,0,3
3,12,1700,250,950,2
1,13,250,100,0,4
0,13,1525,225,825,2
0,5,250,100,0,6
3,10,360,200,-90,2
2,108,470,310,-200,2
4,108,470,310,-200,2
3,12,250,150,-50,2
0,3,475,100,125,4
3,405,475,100,125,6
1,9,1300,325,-25,4
0,13,250,100,0,6
2,9,300,200,-200,2
4,13,300,200,-200,2
1,12,450,150,50,3
0,13,475,100,125,4
1,13,250,100,0,5
0,9,250,100,0,6
3,13,460,150,60,3
2,126,620,310,-100,2
2,230,620,310,-100,2
4,230,620,310,-100,2
1,10,250,100,0,3
1,10,690,200,0,2
2,112,2350,930,0,2
4,112,2350,930,0,2
1,13,475,100,125,5
3,13,3200,625,1350,2
3,13,5750,1850,125,2
0,13,9075,3175,-1175,2
0,404,250,100,0,6
3,106,500,150,100,3
2,309,850,350,-100,3
2,309,850,350,-100,3
4,712,850,350,-100,3
0,13,475,100,125,4
0,8,250,100,0,5
0,7,400,200,-50,2
0,409,475,100,125,4
1,13,250,100,0,4
4,13,550,200,0,2
2,13,1000,200,0,2
2,104,1000,200,0,2
1,12,250,100,0,6
2,108,550,200,0,2
0,222,700,200,0,2
3,13,500,150,100,3
2,13,700,350,-100,2
0,13,1100,350,50,2
0,404,250,100,0,4
0,7,250,100,0,6
1,407,300,200,-200,2
0,10,500,100,150,4
0,403,475,100,125,6
3,409,360,200,-90,2
2,116,470,310,-200,2
3,116,780,310,0,2
2,116,1090,620,-310,2
3,116,2590,620,880,2
2,324,4090,2120,-620,2
0,12,525,200,25,3
1,11,250,100,0,4
4,13,550,200,0,2
2,110,775,200,0,2
3,226,1450,200,475,2
1,13,300,150,-50,5
4,13,650,275,-50,2
3,13,1525,275,600,2
3,13,2400,925,-50,2
4,13,2625,1150,-275,2
0,10,250,100,0,6
0,10,670,150,60,4
0,10,470,100,120,5
1,12,250,100,0,5
2,12,550,200,0,2
4,12,550,200,0,2
4,12,1000,200,0,2
0,12,400,200,-50,2
3,13,500,100,150,4
2,126,750,350,-100,2
2,238,750,350,-100,2
3,238,1175,350,75,2
0,10,525,150,75,5
0,7,250,100,0,6
0,12,475,150,75,3
0,404,500,100,150,5
1,110,250,100,0,5
0,12,250,100,0,6
1,122,1350,150,700,4
3,122,13161,1111,8889,2
0,6,300,150,-50,3
0,11,250,100,0,5
3,405,350,200,-100,2
2,220,450,300,-200,2
4,222,450,300,-200,2
2,222,675,300,-200,2
0,10,300,200,-100,2
1,13,250,100,0,3
1,126,250,100,0,5
1,126,1175,225,475,2
0,9,250,100,0,6
2,11,300,200,-200,2
2,13,300,200,-200,2
2,13,300,200,-200,2
2,13,300,200,-200,2
1,8,250,100,0,3
0,11,250,100,0,4
1,108,250,100,0,5
4,220,775,225,0,3
1,12,250,100,0,6
4,12,600,225,0,2
2,12,1100,225,0,2
2,106,1100,225,0,2
3,104,400,250,-150,2
2,104,500,350,-250,2
4,216,500,350,-250,2
2,216,612,350,-250,2
3,11,550,200,50,3
2,106,900,400,-150,3
2,106,900,400,-150,3
0,7,500,100,150,4
0,6,250,100,0,5
1,12,250,100,0,6
2,13,750,200,0,3
0,8,375,200,-75,2
0,7,250,100,0,3
1,13,250,100,0,4
2,13,550,200,0,2
4,13,550,200,0,2
0,408,250,100,0,6
3,108,400,200,-50,2
2,108,550,350,-200,2
3,108,800,350,-100,2
2,108,1050,600,-350,2
0,10,500,150,100,3
0,9,250,100,0,4
1,12,250,100,0,6
1,13,1150,200,575,3
0,12,500,150,100,3
1,13,250,100,0,3
1,13,250,100,0,4
1,12,250,100,0,5
2,110,750,250,0,2
4,110,750,250,0,2
0,13,250,100,0,6
0,406,500,150,100,3
0,12,250,100,0,4
1,11,250,100,0,5
4,12,700,200,0,3
3,409,375,200,-75,2
2,118,500,325,-200,2
2,230,500,325,-200,2
3,230,875,325,50,2
2,230,1250,700,-325,2
3,230,2187,700,237,2
1,12,525,200,25,3
4,116,2124,887,25,2
2,116,3086,887,25,2
0,116,5010,887,1037,2
0,6,250,100,0,4
1,13,250,100,0,5
0,407,460,150,60,3
1,7,250,100,0,3
0,406,475,100,125,6
0,8,1350,200,750,3
0,410,475,100,125,4
0,5,250,100,0,5
1,12,250,100,0,6
2,12,650,250,0,2
2,12,650,250,0,2
4,122,650,250,0,2
0,3,500,150,100,3
1,13,250,100,0,3
1,13,250,100,0,4
0,8,250,100,0,6
1,122,500,150,100,3
3,122,3800,1050,1100,2
2,122,4800,2050,100,2
0,122,6000,2050,100,2
0,10,250,100,0,4
0,9,250,100,0,6
0,12,460,150,60,3
0,9,500,100,150,5
0,7,250,100,0,6
1,122,360,200,-90,2
4,122,2250,1090,-90,2
0,403,475,100,125,4
1,411,250,100,0,4
4,13,550,200,0,2
1,408,250,100,0,5
3,407,500,200,-100,3
2,108,600,300,-200,3
0,108,755,300,-145,2
3,409,475,100,125,4
0,108,1000,325,-25,2
0,5,250,100,0,5
3,104,350,200,-100,2
2,104,450,300,-200,2
2,104,450,300,-200,2
4,230,450,300,-200,2
0,3,460,150,60,3
0,4,250,100,0,4
1,112,250,100,0,5
2,112,700,200,0,3
4,112,700,200,0,3
3,11,400,200,-50,2
2,122,550,350,-200,2
3,122,800,350,-100,2
2,122,1050,600,-350,2
2,122,1050,600,-350,2
0,122,1600,600,-50,2
0,8,250,100,0,3
0,11,250,100,0,5
2,12,300,200,-200,2
3,12,400,200,-100,2
0,12,800,300,0,2
1,410,250,150,-50,2
1,405,250,100,0,3
0,13,250,100,0,5
3,10,460,150,60,3
2,116,730,310,-100,3
2,236,730,310,-100,3
2,236,730,310,-100,3
3,236,1030,310,-10,2
0,8,300,150,-50,3
1,102,250,100,0,4
3,102,1200,250,450,2
2,102,1650,700,0,2
4,303,1650,700,0,2
2,621,2425,700,0,2
0,9,250,100,0,6
0,4,250,150,-50,2
0,409,500,100,150,5
0,11,250,100,0,6
0,11,500,100,150,5
1,409,250,100,0,6
0,10,350,200,-100,2
1,110,250,150,-50,2
2,110,650,300,-50,2
2,110,650,300,-50,2
2,110,650,300,-50,2
0,13,475,100,125,4
0,11,250,100,0,5
0,4,570,200,-90,3
1,13,250,100,0,3
0,9,250,100,0,4
0,11,250,100,0,6
3,12,360,200,-90,2
2,120,470,310,-200,2
0,13,1350,150,700,4
1,13,250,100,0,3
2,106,600,225,0,2
2,222,600,225,0,2
4,234,600,225,0,2
1,13,250,100,0,5
0,10,250,100,0,6
0,10,1375,150,750,4
0,10,250,100,0,4
0,13,250,100,0,6
3,9,350,200,-100,2
2,12,450,300,-200,2
0,405,475,150,75,3
1,12,250,100,0,3
2,120,650,250,0,2
3,120,1000,250,100,2
3,244,2200,600,250,2
0,8,250,100,0,5
0,6,350,200,-100,2
1,120,250,150,-50,2
4,120,650,300,-50,2
0,11,250,100,0,4
0,12,250,100,0,6
3,408,400,200,-50,2
2,8,550,350,-200,2
3,8,850,350,-50,2
2,112,1150,650,-350,2
0,13,500,150,100,3
0,7,475,100,125,5
0,10,250,100,0,6
0,4,700,150,75,4
1,12,250,100,0,3
0,403,250,100,0,5
2,10,300,200,-200,2
4,13,300,200,-200,2
4,13,400,200,-200,2
0,8,250,150,-50,2
0,403,475,100,125,5
0,9,250,100,0,6
0,10,475,150,75,3
0,6,250,100,0,4
0,12,250,100,0,6
1,411,250,150,-50,2
4,120,550,250,-50,2
0,13,475,100,125,4
0,8,250,100,0,5
0,7,375,200,-75,2
0,11,500,100,150,4
0,7,475,100,125,6
0,12,375,200,-75,2
0,12,250,100,0,3
0,12,250,100,0,5
1,12,250,100,0,6
0,12,360,200,-90,2
3,13,250,150,-50,2
4,126,300,200,-100,2
4,126,400,200,-100,2
0,7,250,100,0,4
0,6,250,100,0,6
1,407,300,200,-200,2
3,104,250,150,-50,2
3,104,622,200,122,2
2,226,844,422,-100,2
3,226,1066,422,-100,2
2,226,1288,644,-322,2
0,226,1976,644,44,2
0,12,250,100,0,4
1,13,250,100,0,5
4,413,700,225,0,2
4,413,1000,225,0,2
0,11,460,150,60,3
0,6,250,100,0,4
1,13,250,100,0,5
0,12,250,100,0,6
3,13,375,200,-75,2
2,110,500,325,-200,2
3,110,750,325,-75,2
2,236,1000,575,-325,2
3,236,1835,575,260,2
2,246,2670,1410,-575,2
0,9,475,100,125,4
1,13,250,100,0,5
0,13,1900,200,1050,3
0,13,350,200,-100,2
0,3,500,100,150,4
1,13,250,100,0,5
2,13,600,225,0,2
0,102,975,225,150,2
1,126,375,200,-75,2
3,108,500,150,100,3
2,108,700,350,-100,2
2,108,700,350,-100,2
2,108,700,350,-100,2
0,10,525,150,75,4
0,6,250,100,0,5
2,7,300,200,-200,2
4,10,300,200,-200,2
0,10,600,200,100,2
3,104,250,150,-50,2
2,104,300,200,-100,2
0,6,250,100,0,3
1,406,475,100,125,5
1,110,250,100,0,6
2,218,550,200,0,2
4,218,550,200,0,2
0,10,360,200,-90,2
3,409,460,150,60,3
2,13,620,310,-100,2
3,13,500,100,150,4
2,126,750,350,-100,2
2,126,750,350,-100,2
2,126,750,350,-100,2
0,10,300,150,-50,4
0,11,250,100,0,6
3,408,250,150,-50,2
2,11,300,200,-100,2
4,11,300,200,-100,2
1,411,250,100,0,3
3,411,1625,225,925,2
4,11,2550,1150,0,2
0,12,250,100,0,4
0,411,250,100,0,6
0,5,475,150,75,3
0,8,250,100,0,4
1,106,250,100,0,6
2,214,825,225,0,3
3,214,1200,225,150,3
4,214,1950,600,-225,3
1,122,300,200,-200,2
2,122,700,400,-200,2
2,122,700,400,-200,2
3,122,1100,400,0,2
0,13,550,200,50,3
0,6,500,100,150,5
0,5,250,100,0,6
3,407,375,200,-75,2
2,12,500,325,-200,2
0,9,475,150,75,3
1,13,250,100,0,4
4,13,650,250,0,2
0,9,475,100,125,6
1,13,250,100,0,6
2,13,550,200,0,2
4,126,550,200,0,2
1,10,300,200,-200,2
0,10,1325,150,700,4
0,4,475,100,125,5
0,8,250,100,0,4
0,13,250,100,0,6
1,120,450,150,50,3
0,12,475,100,125,4
0,13,475,100,125,6
1,13,250,100,0,6
0,13,500,150,100,3
1,410,250,100,0,3
4,11,600,225,0,2
4,11,850,225,0,2
2,11,1850,225,0,2
0,13,250,100,0,5
3,9,700,200,-100,4
2,118,800,300,-200,4
2,327,800,300,-200,4
1,327,1300,300,200,2
1,327,6050,1200,2150,2
0,9,450,150,50,3
0,6,475,100,125,5
1,116,250,100,0,6
3,116,1300,250,550,2
2,324,1850,800,0,2
3,324,2450,800,0,2
2,324,3050,1400,-600,2
2,324,3050,1400,-600,2
0,3,1150,250,500,3
3,13,650,150,50,4
1,5,250,100,0,3
0,9,250,100,0,4
1,13,250,100,0,6
4,13,750,200,0,3
2,13,1400,200,0,2
1,13,2375,200,775,2
4,13,7250,2150,775,2
0,8,500,250,-50,2
0,9,475,100,125,4
0,7,250,100,0,5
0,407,1222,200,650,3
3,13,500,150,100,3
2,13,700,350,-100,2
2,13,700,350,-100,2
2,120,700,350,-100,2
0,410,450,100,100,5
1,11,250,100,0,5
3,11,1175,225,475,2
2,13,1650,700,0,2
0,10,250,100,0,6
3,110,375,200,-75,2
2,110,500,325,-200,2
2,110,500,325,-200,2
2,110,500,325,-200,2
3,118,550,200,50,3
4,118,900,400,-150,3
0,13,475,100,125,5
1,12,250,100,0,5
1,407,450,200,0,2
0,405,500,150,100,3
1,13,250,100,0,4
0,405,475,100,125,6
1,406,350,200,-100,2
4,110,2250,1100,-100,2
2,110,3375,1100,-100,2
4,224,3375,1100,-100,2
0,7,475,150,75,3
0,12,250,100,0,4
0,9,250,100,0,6
3,13,450,150,50,3
2,13,700,300,-100,3
0,13,1000,300,0,3
0,4,475,100,125,5
0,13,250,100,0,6
0,11,475,150,75,3
0,12,450,100,100,5
0,12,250,100,0,6
0,11,475,150,75,3
1,7,250,100,0,3
2,122,550,200,0,2
4,122,550,200,0,2
4,122,662,200,0,2
0,12,250,100,0,5
0,6,450,150,50,3
1,13,250,100,0,3
0,12,475,100,125,4
1,13,250,100,0,5
4,13,550,200,0,2
3,13,1375,200,625,2
0,122,4400,825,1575,2
0,411,650,150,50,4
0,13,250,100,0,4
0,11,250,100,0,6
0,13,450,150,50,3
0,407,450,100,100,5
0,6,250,100,0,6
3,13,250,150,-50,2
2,13,300,200,-100,2
2,13,300,200,-100,2
2,13,300,200,-100,2
1,126,525,150,75,4
0,11,250,100,0,4
0,411,250,100,0,6
3,13,450,150,50,3
2,324,600,300,-100,2
3,324,975,300,75,2
4,732,1350,675,-300,2
0,13,475,100,125,4
0,10,475,100,125,6
1,122,1225,200,650,3
3,122,14498,2723,7177,2
0,9,525,200,25,3
0,12,250,100,0,4
0,6,250,100,0,6
0,11,475,150,75,3
0,10,250,100,0,4
0,5,250,100,0,6
0,12,650,150,50,4
1,409,250,100,0,3
4,118,600,225,0,2
0,3,250,100,0,5
1,12,250,100,0,6
4,234,550,200,0,2
2,234,1000,200,0,2
3,234,3025,200,1825,2
3,11,422,250,-128,2
2,116,544,372,-250,2
3,116,791,372,-125,2
2,116,1038,619,-372,2
2,116,1038,619,-372,2
1,13,250,100,0,3
2,13,600,225,0,2
4,126,600,225,0,2
3,126,1675,225,850,2
0,126,5925,1075,2325,2
0,6,250,100,0,5
0,11,600,200,-75,3
3,411,250,150,-50,2
2,11,300,200,-100,2
3,104,475,100,125,4
0,104,1150,325,125,2
3,406,475,100,125,6
1,112,1150,325,125,2
4,112,3100,1075,125,2
0,112,6550,1075,2375,2
3,10,350,200,-100,2
2,12,450,300,-200,2
0,12,600,300,-150,2
1,13,250,100,0,3
2,13,600,225,0,2
4,13,600,225,0,2
0,12,250,100,0,4
1,13,250,100,0,5
0,11,600,200,-75,3
0,110,1175,100,600,5
0,9,475,100,125,6
0,8,375,200,-75,2
1,13,250,100,0,3
4,118,550,200,0,2
3,118,1225,200,475,2
2,118,1700,675,0,2
2,118,1700,675,0,2
1,11,300,150,-50,3
0,10,450,100,100,5
1,12,250,100,0,6
0,8,375,200,-75,2
1,120,450,150,50,3
4,120,1900,775,50,2
2,120,2337,775,50,2
2,120,2337,775,50,2
0,10,450,100,100,4
0,6,250,100,0,5
0,8,1225,200,650,3
0,6,250,100,0,3
1,13,250,100,0,5
2,106,550,200,0,2
4,309,550,200,0,2
0,11,250,100,0,6
0,7,450,150,50,3
0,10,250,100,0,4
0,7,250,100,0,6
0,11,1175,150,575,4
1,13,250,100,0,4
0,10,250,100,0,5
0,10,375,200,-75,2
1,13,250,100,0,3
4,13,724,287,0,2
2,13,1036,287,0,2
2,13,1036,287,0,2
0,7,525,150,75,5
0,11,250,100,0,6
0,9,475,100,125,4
0,6,250,100,0,5
3,11,372,200,-78,2
2,112,494,322,-200,2
3,112,644,322,-172,2
2,230,794,472,-322,2
4,230,794,472,-322,2
1,120,500,150,100,3
3,120,4075,1050,1375,2
2,330,5350,2325,100,2
4,634,5350,2325,100,2
4,634,7825,2325,100,2
0,402,500,150,50,4
1,13,250,100,0,4
0,13,250,100,0,6
3,10,250,150,-50,2
2,234,300,200,-100,2
1,234,474,200,-26,2
4,234,1470,611,-26,2
0,12,475,100,125,4
0,9,475,100,125,6
1,10,250,100,0,6
0,8,995,200,420,3
1,13,250,150,-50,2
2,104,750,350,-50,2
3,104,1050,350,-50,2
2,104,1350,650,-350,2
0,6,250,100,0,3
0,9,250,100,0,5
0,10,375,200,-75,2
3,104,475,150,75,3
2,104,775,325,-100,3
0,10,450,100,100,4
0,9,250,100,0,5
1,112,250,100,0,6
1,13,250,150,-50,2
0,13,1250,300,450,2
1,11,250,100,0,3
1,410,250,100,0,4
2,10,650,200,0,2
0,13,250,100,0,5
1,13,250,100,0,6
4,114,550,200,0,2
2,114,775,200,0,2
0,8,450,200,0,2
0,406,250,100,0,3
1,13,250,100,0,5
4,13,550,200,0,2
0,10,250,100,0,6
3,12,600,200,-75,3
2,12,725,325,-200,3
0,7,500,150,100,3
0,9,250,100,0,4
1,12,250,100,0,5
0,10,350,200,-100,2
1,12,250,150,-50,2
1,13,250,100,0,4
4,244,550,200,0,2
0,13,250,100,0,5
0,11,500,150,100,3
1,408,250,100,0,4
4,13,550,200,0,2
0,13,1075,200,100,2
3,410,475,100,125,6
3,11,1150,325,125,2
4,11,1600,775,-325,2
4,11,1975,775,-325,2
3,9,350,200,-100,2
2,230,450,300,-200,2
1,230,600,300,-150,2
0,10,450,100,100,4
0,7,250,100,0,5
0,7,450,200,0,2
3,13,475,150,75,3
2,126,775,325,-100,3
3,126,1175,325,75,3
2,230,1575,725,-325,2
2,230,1575,725,-325,2
3,12,525,150,75,4
2,13,925,375,-150,3
4,413,925,375,-150,3
4,108,1312,375,-150,2
0,406,475,100,125,6
0,10,375,200,-75,2
1,411,250,100,0,3
4,122,550,200,0,2
2,122,1000,200,0,2
4,122,1000,200,0,2
0,405,250,100,0,4
0,11,250,100,0,6
0,405,450,150,50,3
0,102,475,100,125,5
1,104,250,100,0,5
2,104,550,200,0,2
3,104,775,200,25,2
4,306,1000,425,-200,2
0,8,600,200,-75,3
1,12,450,150,50,3
4,124,2650,1150,50,2
0,11,250,100,0,4
0,10,250,100,0,6
0,8,1275,150,650,4
